[server] starting; models config = [("q9", "/data/ai-ml/hf-models/qwen35-9b-nvfp4-gguf/Qwen3.5-9B-NVFP4-MTP-GGUF.gguf", Some("/data/ai-ml/hf-models/qwen35-9b-nvfp4-gguf/draft-9b-owntrim-nvfp4head-q4blk.gguf"))]
[worker] Engine ready (MEMRA_FAST=true)
[worker] loading model "q9" <- /data/ai-ml/hf-models/qwen35-9b-nvfp4-gguf/Qwen3.5-9B-NVFP4-MTP-GGUF.gguf
[mtp-draft] external draft head: blk.32, head_vocab=32768 (trimmed, d2t map)
[worker] q9: regime draft attached (/data/ai-ml/hf-models/qwen35-9b-nvfp4-gguf/draft-9b-owntrim-nvfp4head-q4blk.gguf)
[worker]   loaded "q9": 33 layers, eos=248046
[worker] q9: template caps tools=true think=true think_switch=true chat_ok=true ctx=262144 tok="qwen35" instruct=Some("chatml")
[worker] q9: decode chunk cap 16 (exact-16 tier)
[server] worker ready; serving models: ["q9"]
[prefix-cache] on: budget 268MB (MEMRA_PREFIX_CACHE_MB), min prefix 64 tokens
[server] listening on http://127.0.0.1:8317
[meter] admit id=chatcmpl-d21c01a6c7d5b79c4c18e71b0c16bec7 tenant=default lane=interactive model="q9"
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
[tick] act=1 int=1 priming=1 ready=0 decode_ms=0.0
