Generating SQLite file /tmp/anatomy-pp4096-20260807T114137Z.sqlite from /tmp/anatomy-pp4096-20260807T114137Z.nsys-rep
Processing [/tmp/anatomy-pp4096-20260807T114137Z.sqlite] with [/opt/nvidia/nsight-systems/2026.1.3/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
42.5,37266693366,66,564646869.2,564406970.0,563371994,573463194,1595616.7,sdpa_naive_w_f32
17.8,15639371174,540,28961798.5,16905822.0,730014,131122668,36661095.7,"void mmq_iq4xs_dense_kernel<(int)64, (bool)0>(const unsigned char *, const int *, float *, int, int, int, long)"
13.5,11838137742,322767,36677.0,36351.0,33311,51648,1505.4,moe_gate_up_silu8_q8
11.0,9680097196,322767,29991.0,29952.0,27968,34272,525.8,moe_down8_fma_q8
4.2,3667213405,90,40746815.6,62753020.5,371615,86674046,40137947.1,qmatvec_iq4_XS_dp4a
3.8,3353318102,84,39920453.6,67872326.0,680063,79918233,35963928.5,router_gemv_f32_w8_batch
3.0,2663933010,511128,5211.9,5184.0,4288,8416,502.4,qmatvec_expert_q8
1.6,1435198552,90,15946650.6,25904475.0,170047,39815418,15629526.2,"void mul_mat_q_q45k<(int)128, (bool)0, (int)5>(const char *, const int *, float *, int, int, int, int, int, int)"
1.2,1090955377,837299,1302.9,1312.0,1023,106080,1000.2,quantize_q8_1
0.5,447482130,362,1236138.5,257535.0,32800,4394494,1744868.3,rms_norm_f32
0.2,139766485,170376,820.3,800.0,736,1472,87.2,axpy_f32
0.1,107934092,131076,823.4,832.0,768,24128,129.4,swiglu_clamped_mul_scaled_f32
0.1,80098369,24,3337432.0,3336925.0,3268060,3407800,33976.9,fa_prefill_qw_db_hd128
0.1,55447512,2,27723756.0,27723756.0,27560710,27886802,230581.9,qmatvec_q6_K_mmvq
0.0,41704769,39390,1058.8,960.0,896,378527,4672.1,silu_mul_f32
0.0,35696827,90,396631.4,438016.0,279392,441824,69586.5,attn_head_gate_f32
0.0,28864961,540,53453.6,51936.0,7520,172383,50668.5,"quantize_mmq_q8_1_d4_kernel(const float *, void *, long, long, long, int)"
0.0,23801607,90,264462.3,304368.0,150592,311135,67630.0,rope_neox2_f32
0.0,18519946,180,102888.6,100046.5,81536,130592,12061.5,add_f32
0.0,8632374,84,102766.4,102736.0,101856,103744,432.3,add_scaled_rows_f32
0.0,6379067,90,70878.5,70464.0,69632,74880,1417.3,append_quantize_kv_q8_0_q5_1_rows
0.0,1762911,90,19587.9,19616.0,18848,21888,493.1,"quantize_mmq_q8_1_ds4_kernel(const float *, void *, long, long, long, int)"
0.0,1689215,66,25594.2,25568.0,25440,26112,109.8,fa_dequant_kv_ws_f32
0.0,1145248,6,190874.7,191056.0,188640,193312,1607.7,memra_f16_cvt_kernel
0.0,615838,24,25659.9,25600.0,25504,26080,154.0,fa_dequant_kv_ws_bf16
0.0,89759,2,44879.5,44879.5,44864,44895,21.9,embed_gather_u32_t

