# qwen4exp_real_gate	label=nvfp4	binary_sha256=e6c57048db587b3489215e260f851999feeedd26314307c8755773c510531277	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# reference=/home/ubuntu/realgate/out/probe-logits-bf16.bin	candidate=/home/ubuntu/realgate/perf8/probe-logits-nvfp4.bin	rows=10	vocab=248320
row	top1_ref	top1_ours	top1_match	top20_overlap	kl_ref_ours	max_abs
0	20438	20438	true	19/20	0.00289	3.643e-1
1	4087	4087	true	19/20	0.01921	1.166e0
2	37550	37550	true	18/20	0.00103	1.129e0
3	33075	33075	true	18/20	0.00471	1.097e0
4	888	888	true	20/20	0.00121	1.885e0
5	279	279	true	16/20	0.00090	1.567e0
6	15217	15217	true	15/20	0.00223	3.073e0
7	5388	5388	true	17/20	0.00086	2.110e0
8	13	13	true	18/20	0.04664	1.854e0
9	271	271	true	12/20	0.17303	6.181e0
