[server] starting; models config = [("qwen", "/home/avifenesh/models/qwen3.5-9b-judge-q8_0.gguf", None)]
[worker] Engine ready (MEMRA_FAST=true)
[worker] loading model "qwen" <- /home/avifenesh/models/qwen3.5-9b-judge-q8_0.gguf
[q8rp] split-plane decode mirrors built: 249 tensors
[worker]   loaded "qwen": 32 layers, eos=248046
[worker] qwen: decode chunk cap 16 (exact-16 tier)
[server] worker ready; serving models: ["qwen"]
[server] listening on http://127.0.0.1:8093
[prime-batch] B=3 tokens=678 in 146.6ms
[prime-batch] B=6 tokens=1356 in 253.1ms
[prime-batch] B=6 tokens=1356 in 259.5ms
[prime-batch] B=3 tokens=678 in 145.8ms
[prime-batch] B=6 tokens=1356 in 275.5ms
[prime-batch] B=6 tokens=1356 in 277.0ms
[prime-batch] B=3 tokens=678 in 146.0ms
[prime-batch] B=6 tokens=1356 in 271.5ms
[prime-batch] B=6 tokens=1356 in 275.4ms
[prime-batch] B=3 tokens=678 in 149.7ms
[prime-batch] B=6 tokens=1356 in 282.0ms
[prime-batch] B=6 tokens=1356 in 285.5ms
