[server] starting; models config = [("qwen", "/home/avifenesh/models/qwen3.5-9b-judge-q8_0.gguf", None)]
[worker] Engine ready (MEMRA_FAST=true)
[worker] loading model "qwen" <- /home/avifenesh/models/qwen3.5-9b-judge-q8_0.gguf
[q8rp] split-plane decode mirrors built: 249 tensors
[worker]   loaded "qwen": 32 layers, eos=248046
[worker] qwen: decode chunk cap 8
[server] worker ready; serving models: ["qwen"]
[server] listening on http://127.0.0.1:8093
[prime-batch] B=6 tokens=1356 in 253.0ms
[prime-batch] B=6 tokens=1356 in 253.7ms
[prime-batch] B=3 tokens=678 in 153.0ms
[prime-batch] B=6 tokens=1356 in 254.3ms
[prime-batch] B=6 tokens=1356 in 256.7ms
[prime-batch] B=3 tokens=678 in 144.8ms
[prime-batch] B=6 tokens=1356 in 254.3ms
[prime-batch] B=6 tokens=1356 in 256.8ms
[prime-batch] B=3 tokens=678 in 145.9ms
[prime-batch] B=6 tokens=1356 in 256.1ms
[prime-batch] B=6 tokens=1356 in 258.2ms
[prime-batch] B=3 tokens=678 in 145.6ms
