# capacity_guard	waited_s=0
# arm	off
# seams_env	MEMRA_Q4E_SEAMS=idxsel
# qwen4exp_real_gate	label=spec-ab-rep2-off	binary_sha256=69c44eb85b82d4eefb2e08e535beffa47b791be9c5444de84fc07ea3de8fc481	ckpt=/root/data/q48fn-yarn1m	host_bf16_banks=false	indexer_norm_raw=false	mtp_dev1=false	spec_opts=SpecOpts { dynk: None, adapt_k_lo: None, pmin: 0.0, defer: false, defer_guard_sync: false, prefill_chunk: None, wide_ring: None }
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# cache	kv_quant=f32	idxq=f32	golden_pin=true	seams_env=idxsel
# vram	post-engine	0, 595 MiB, 97887 MiB | 1, 0 MiB, 97887 MiB | 2, 0 MiB, 97887 MiB | 3, 0 MiB, 97887 MiB
# load	489.8s
# vram	post-load	0, 95283 MiB, 97887 MiB | 1, 0 MiB, 97887 MiB | 2, 0 MiB, 97887 MiB | 3, 0 MiB, 97887 MiB
# qwen4exp_real_gate	label=spec-ab-rep2-off	binary_sha256=69c44eb85b82d4eefb2e08e535beffa47b791be9c5444de84fc07ea3de8fc481	ckpt=/root/data/q48fn-yarn1m	host_bf16_banks=false	indexer_norm_raw=false	mtp_dev1=false	spec_opts=SpecOpts { dynk: None, adapt_k_lo: None, pmin: 0.0, defer: false, defer_guard_sync: false, prefill_chunk: None, wide_ring: None }
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# cache	kv_quant=f32	idxq=f32	golden_pin=true	seams_env=idxsel
# spec-ab k=5: plain greedy decode vs spec_generate, fresh states per arm per rep
rep	arm	tokens	ms_per_token	tok_per_s	accept_rate	mean_accept_len
0	plain	64	13.78	72.59	-	-
0	spec	64	10.97	91.13	0.565	3.76
# round-cost	rep=0	rounds=17	chain_ms=7.09	replay_ms=0.21	verify_ms=32.69	cross_ms=0.000	draft_prefill_ms=19.2	zero_draft=0	guard_stops=0	plain_steps=0	k_decays=[]
1	plain	64	13.78	72.58	-	-
1	spec	64	10.96	91.26	0.565	3.76
# round-cost	rep=1	rounds=17	chain_ms=7.07	replay_ms=0.22	verify_ms=32.67	cross_ms=0.000	draft_prefill_ms=19.1	zero_draft=0	guard_stops=0	plain_steps=0	k_decays=[]
2	plain	64	13.81	72.41	-	-
2	spec	64	10.80	92.58	0.565	3.76
# round-cost	rep=2	rounds=17	chain_ms=7.06	replay_ms=0.23	verify_ms=32.09	cross_ms=0.000	draft_prefill_ms=19.1	zero_draft=0	guard_stops=0	plain_steps=0	k_decays=[]
3	plain	64	13.81	72.40	-	-
3	spec	64	10.60	94.38	0.565	3.76
# round-cost	rep=3	rounds=17	chain_ms=7.02	replay_ms=0.23	verify_ms=31.35	cross_ms=0.000	draft_prefill_ms=19.1	zero_draft=0	guard_stops=0	plain_steps=0	k_decays=[]
4	plain	64	13.78	72.59	-	-
4	spec	64	10.66	93.78	0.565	3.76
# round-cost	rep=4	rounds=17	chain_ms=7.04	replay_ms=0.22	verify_ms=31.58	cross_ms=0.000	draft_prefill_ms=19.4	zero_draft=0	guard_stops=0	plain_steps=0	k_decays=[]
# arm plain	mean_of_means_ms=13.79	min=13.78	max=13.81	tok_per_s=72.52
# arm spec	mean_of_means_ms=10.80	min=10.60	max=10.97	tok_per_s=92.61
# rep0_plain_vs_spec_first_divergence	-1
# accept_hist_total	10,15,10,20,5,25
