# qwen4exp_real_gate	label=spec-ab-rep1-off	binary_sha256=69c44eb85b82d4eefb2e08e535beffa47b791be9c5444de84fc07ea3de8fc481	ckpt=/root/data/q48fn-yarn1m	host_bf16_banks=false	indexer_norm_raw=false	mtp_dev1=false	spec_opts=SpecOpts { dynk: None, adapt_k_lo: None, pmin: 0.0, defer: false, defer_guard_sync: false, prefill_chunk: None, wide_ring: None }
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# cache	kv_quant=f32	idxq=f32	golden_pin=true	seams_env=idxsel
# spec-ab k=5: plain greedy decode vs spec_generate, fresh states per arm per rep
rep	arm	tokens	ms_per_token	tok_per_s	accept_rate	mean_accept_len
0	plain	64	13.78	72.58	-	-
0	spec	64	11.00	90.87	0.565	3.76
# round-cost	rep=0	rounds=17	chain_ms=7.13	replay_ms=0.21	verify_ms=32.76	cross_ms=0.000	draft_prefill_ms=19.2	zero_draft=0	guard_stops=0	plain_steps=0	k_decays=[]
1	plain	64	13.78	72.56	-	-
1	spec	64	10.96	91.25	0.565	3.76
# round-cost	rep=1	rounds=17	chain_ms=7.05	replay_ms=0.24	verify_ms=32.68	cross_ms=0.000	draft_prefill_ms=19.1	zero_draft=0	guard_stops=0	plain_steps=0	k_decays=[]
2	plain	64	13.81	72.41	-	-
2	spec	64	10.80	92.57	0.565	3.76
# round-cost	rep=2	rounds=17	chain_ms=7.06	replay_ms=0.23	verify_ms=32.09	cross_ms=0.000	draft_prefill_ms=19.2	zero_draft=0	guard_stops=0	plain_steps=0	k_decays=[]
3	plain	64	13.82	72.38	-	-
3	spec	64	10.61	94.21	0.565	3.76
# round-cost	rep=3	rounds=17	chain_ms=7.02	replay_ms=0.23	verify_ms=31.42	cross_ms=0.000	draft_prefill_ms=19.1	zero_draft=0	guard_stops=0	plain_steps=0	k_decays=[]
4	plain	64	13.78	72.58	-	-
4	spec	64	10.57	94.58	0.565	3.76
# round-cost	rep=4	rounds=17	chain_ms=7.01	replay_ms=0.23	verify_ms=31.28	cross_ms=0.000	draft_prefill_ms=19.0	zero_draft=0	guard_stops=0	plain_steps=0	k_decays=[]
# arm plain	mean_of_means_ms=13.79	min=13.78	max=13.82	tok_per_s=72.50
# arm spec	mean_of_means_ms=10.79	min=10.57	max=11.00	tok_per_s=92.67
# rep0_plain_vs_spec_first_divergence	-1
# accept_hist_total	10,15,10,20,5,25
# rep0_plain	1596,1144,4087,1156,25,328,11670,411,4667,5792,5829,709,310,3203,14,11093,11,45328,279,1412,50921,6681,11,321,1910,1092,4203,364,264,19260,421,1429,310,1440,264,4667,1149,271,3850,874,709,3766,13,14235,4222,2466,364,1970,30,1921,6970,3300,13553,5215,30,2570,2640,328,559,4667,5792,5829,709,1
# rep0_spec	1596,1144,4087,1156,25,328,11670,411,4667,5792,5829,709,310,3203,14,11093,11,45328,279,1412,50921,6681,11,321,1910,1092,4203,364,264,19260,421,1429,310,1440,264,4667,1149,271,3850,874,709,3766,13,14235,4222,2466,364,1970,30,1921,6970,3300,13553,5215,30,2570,2640,328,559,4667,5792,5829,709,1
