DAY30 A2 pre-submit steady N=80 median=6.05 min=5.92 max=6.61 boots_on=10 demotes_per_boot=[11] rule N>=80 median<=1.5 max<=3.0 -> FAIL
DAY30 READING pre-submit demote 1 of its boot N=10 median=37.93 min=37.38 max=40.63
DAY30 READING pre-submit demote 2 of its boot N=10 median=42.89 min=42.60 max=44.13
DAY30 READING pre-submit demote 3 of its boot N=10 median=42.27 min=42.00 max=43.79
DAY30 READING helper hashed_in_ms N=110 median=73.1 min=72.9 max=73.5; copy submission-to-completion N=0 median=nan
  A3 BAD copy-complete line (no items= term) in pro-single-day29/box/double-park/ev/o1/b01-on/server.log: [prefix-host] demote copy complete off the tick: ticket seq=2 complete after 1 poll(s), 42.1ms from submission to completion (tick-top poll); 98 heap payloads (157.9MB) handed to the hash helper
  A3 BAD copy-complete line (no items= term) in pro-single-day29/box/double-park/ev/o1/b01-on/server.log: [prefix-host] demote copy complete off the tick: ticket seq=5 complete after 1 poll(s), 139.1ms from submission to completion (tick-top poll); 98 heap payloads (157.9MB) handed to the hash helper
  A3 BAD copy-complete line (no items= term) in pro-single-day29/box/double-park/ev/o1/b01-on/server.log: [prefix-host] demote copy complete off the tick: ticket seq=7 complete after 1 poll(s), 137.7ms from submission to completion (tick-top poll); 98 heap payloads (157.9MB) handed to the hash helper
  A3 BAD copy-complete line (no items= term) in pro-single-day29/box/double-park/ev/o1/b01-on/server.log: [prefix-host] demote copy complete off the tick: ticket seq=9 complete after 1 poll(s), 98.5ms from submission to completion (tick-top poll); 98 heap payloads (157.9MB) handed to the hash helper
  A3 BAD copy-complete line (no items= term) in pro-single-day29/box/double-park/ev/o1/b01-on/server.log: [prefix-host] demote copy complete off the tick: ticket seq=11 complete after 1 poll(s), 97.4ms from submission to completion (tick-top poll); 98 heap payloads (157.9MB) handed to the hash helper
  A3 BAD copy-complete line (no items= term) in pro-single-day29/box/double-park/ev/o1/b01-on/server.log: [prefix-host] demote copy complete off the tick: ticket seq=13 complete after 1 poll(s), 97.6ms from submission to completion (tick-top poll); 98 heap payloads (157.9MB) handed to the hash helper
  A3 BAD copy-complete line (no items= term) in pro-single-day29/box/double-park/ev/o1/b01-on/server.log: [prefix-host] demote copy complete off the tick: ticket seq=15 complete after 1 poll(s), 97.0ms from submission to completion (tick-top poll); 98 heap payloads (157.9MB) handed to the hash helper
  A3 BAD copy-complete line (no items= term) in pro-single-day29/box/double-park/ev/o1/b01-on/server.log: [prefix-host] demote copy complete off the tick: ticket seq=17 complete after 1 poll(s), 97.5ms from submission to completion (tick-top poll); 98 heap payloads (157.9MB) handed to the hash helper
  A3 BAD copy-complete line (no items= term) in pro-single-day29/box/double-park/ev/o1/b01-on/server.log: [prefix-host] demote copy complete off the tick: ticket seq=19 complete after 1 poll(s), 97.1ms from submission to completion (tick-top poll); 98 heap payloads (157.9MB) handed to the hash helper
  A3 BAD copy-complete line (no items= term) in pro-single-day29/box/double-park/ev/o1/b01-on/server.log: [prefix-host] demote copy complete off the tick: ticket seq=21 complete after 1 poll(s), 97.6ms from submission to completion (tick-top poll); 98 heap payloads (157.9MB) handed to the hash helper
  A3 BAD copy-complete line (no items= term) in pro-single-day29/box/double-park/ev/o1/b01-on/server.log: [prefix-host] demote copy complete off the tick: ticket seq=23 complete after 1 poll(s), 97.2ms from submission to completion (tick-top poll); 98 heap payloads (157.9MB) handed to the hash helper
  A3 BAD copy-complete line (no items= term) in pro-single-day29/box/double-park/ev/o1/b03-on/server.log: [prefix-host] demote copy complete off the tick: ticket seq=2 complete after 1 poll(s), 39.0ms from submission to completion (tick-top poll); 98 heap payloads (157.9MB) handed to the hash helper
  A3 BAD copy-complete line (no items= term) in pro-single-day29/box/double-park/ev/o1/b03-on/server.log: [prefix-host] demote copy complete off the tick: ticket seq=5 complete after 1 poll(s), 134.4ms from submission to completion (tick-top poll); 98 heap payloads (157.9MB) handed to the hash helper
  A3 BAD copy-complete line (no items= term) in pro-single-day29/box/double-park/ev/o1/b03-on/server.log: [prefix-host] demote copy complete off the tick: ticket seq=7 complete after 1 poll(s), 133.1ms from submission to completion (tick-top poll); 98 heap payloads (157.9MB) handed to the hash helper
  A3 BAD copy-complete line (no items= term) in pro-single-day29/box/double-park/ev/o1/b03-on/server.log: [prefix-host] demote copy complete off the tick: ticket seq=9 complete after 1 poll(s), 97.8ms from submission to completion (tick-top poll); 98 heap payloads (157.9MB) handed to the hash helper
